Cust_name,cust_id,sku_code,product_qty,facility_code,sales_value,product_price,total_qty,sales_date
Xavier Lopez,CUST_0454,BGT_SKU_021,2,WH-GGN,5086.38,2543.19,2,27-03-2025
Rachel Jones,CUST_0478,BGT_SKU_091,3,WH-GGN,9661.17,3220.39,3,27-03-2025
Frank Jackson,CUST_0162,BGT_SKU_087,1,WH-GGN,2120.28,2120.28,1,27-03-2025
Charlie Brown,CUST_0367,BGT_SKU_020,4,WH-BLR,9182.64,2295.66,4,27-03-2025
Grace Martin,CUST_0391,BGT_SKU_001,4,WH-MUM,7251.76,1812.94,0,27-03-2025
David King,CUST_0045,BGT_SKU_074,4,WH-BLR,13641.92,3410.48,4,27-03-2025
Heidi Davis,CUST_0105,BGT_SKU_062,2,WH-MUM,1062,531,2,27-03-2025
Xavier Johnson,CUST_0346,BGT_SKU_022,1,WH-KOL,3108.49,3108.49,1,27-03-2025
Ivan Lopez,CUST_0087,BGT_SKU_073,2,WH-GGN,6383.44,3191.72,2,27-03-2025
Uma Jackson,CUST_0072,BGT_SKU_025,3,WH-KOL,8240.43,2746.81,3,27-03-2025
Victor Rodriguez,CUST_0424,BGT_SKU_058,1,WH-GGN,1031.55,1031.55,1,27-03-2025
Liam Smith,CUST_0090,BGT_SKU_087,2,WH-BLR,4240.56,2120.28,2,27-03-2025
Liam Jackson,CUST_0228,BGT_SKU_098,1,WH-KOL,2426.78,2426.78,1,27-03-2025
Heidi Gonzalez,CUST_0373,BGT_SKU_010,2,WH-MUM,5408.34,2704.17,2,27-03-2025
Alice Gonzalez,CUST_0138,BGT_SKU_083,2,WH-GGN,6710.38,3355.19,2,27-03-2025
Rachel Davis,CUST_0422,BGT_SKU_095,5,WH-GGN,11136.45,2227.29,5,27-03-2025
Charlie Brown,CUST_0367,BGT_SKU_092,2,WH-KOL,6509,3254.5,2,27-03-2025
Quinn Harris,CUST_0235,BGT_SKU_018,1,WH-BLR,510.01,510.01,1,27-03-2025
Yara Williams,CUST_0464,BGT_SKU_033,2,WH-MUM,1726.96,863.48,2,27-03-2025
